4 11 2 4 10 15 6 4 2 11
6 11 5 2 2 11 5 13 8 6
8 3 10 13 11 14 11 8 10 10
5 13 7 4 12 1 7 9 3 3
6 11 12 2 2 11 5 13 8 6
4 9 2 4 10 4 6 4 2 11
3 14 9 12 4 12 8 12 9 2
9 3 10 13 11 14 11 8 10 10
5 13 7 12 12 1 7 11 3 3
4 9 2 4 10 15 6 4 2 11
10 15 3 7 15 8 13 2 15 7
9 3 10 13 11 14 11 8 10 10
3 14 9 14 4 12 8 12 9 2
1 5 12 6 14 5 9 3 6 12
6 11 5 2 2 10 5 13 8 6
9 3 10 13 11 14 11 8 10 10
10 15 14 7 7 8 13 2 15 7
3 14 9 14 4 12 8 12 9 2
5 11 7 12 12 1 7 9 3 3
3 14 9 14 12 12 8 12 9 2
3 14 9 14 4 12 8 12 15 2
3 7 2 14 4 12 9 8 9 2
6 11 5 2 2 11 5 13 8 6
5 13 14 12 12 1 7 9 1 3
1 5 12 6 14 5 9 11 6 12
3 14 9 14 4 12 8 12 9 6
4 9 13 4 10 15 6 4 1 11
10 15 14 7 15 8 13 2 15 7
5 13 7 12 12 1 7 9 3 3
6 11 5 2 8 11 5 13 8 6
6 11 5 2 2 11 5 3 8 6
1 5 12 6 11 5 9 3 6 12
5 13 7 12 12 1 7 9 3 3
9 3 6 13 11 14 11 15 10 10
5 13 7 12 12 1 7 9 3 3
6 14 5 2 2 11 5 13 8 6
9 3 10 13 11 14 11 8 10 10
6 11 5 7 2 11 5 13 8 6
4 9 2 4 10 15 6 4 2 5
10 6 14 7 15 8 13 2 15 7
4 9 2 4 10 15 6 4 2 11
10 15 14 7 15 8 13 2 15 7
10 15 14 7 15 8 13 2 15 7
4 9 2 4 10 15 6 4 2 11
1 5 12 6 14 5 9 3 6 12
9 13 10 13 11 14 11 8 10 8
4 9 2 4 10 15 6 4 2 11
8 9 2 4 10 15 6 4 2 11
1 5 12 6 14 5 9 3 6 4
3 14 9 14 4 12 8 12 9 2
6 13 7 12 12 15 7 9 3 3
10 15 14 7 15 8 13 2 15 7
4 9 2 8 10 15 6 4 2 11
4 9 2 4 1 15 5 14 2 11
10 15 14 7 15 8 13 2 15 7
10 15 14 7 15 8 13 2 15 8
6 11 5 2 2 11 5 13 8 6
3 14 9 14 4 12 8 12 9 2
4 9 2 4 10 15 6 4 2 11
1 5 12 6 14 5 9 3 6 12
3 14 9 14 4 12 8 12 9 2
1 5 12 6 14 5 9 3 6 12
5 13 7 12 12 1 7 9 3 3
9 3 10 13 11 14 11 8 10 10
6 11 5 2 2 11 2 13 8 6
1 5 12 6 14 5 9 3 6 12
10 15 14 7 15 8 13 2 15 7
10 15 14 9 15 8 13 2 15 7
9 3 10 4 11 6 11 8 10 10
1 12 12 6 14 5 9 3 6 12
4 5 12 6 14 5 9 3 1 12
3 14 9 14 4 12 8 12 9 2
5 13 7 12 12 1 15 9 3 3
10 15 14 7 15 11 13 2 14 7
6 11 5 2 2 11 5 13 8 6
6 15 14 7 15 8 13 7 15 7
5 13 7 12 11 1 7 9 3 10
9 3 10 13 11 14 11 8 10 10
3 14 9 14 4 12 8 12 9 2
1 14 9 14 4 7 8 12 9 2
10 15 14 7 15 8 13 2 15 7
10 15 14 7 15 8 13 2 15 7
1 5 12 6 14 9 9 3 6 12
1 5 12 6 14 5 9 3 6 12
6 11 5 2 2 11 5 13 8 7
5 13 7 12 12 1 7 9 3 3
9 3 10 13 11 14 8 8 6 10
9 3 10 13 10 14 11 8 10 10
10 15 14 7 15 8 13 2 15 7
9 3 10 13 11 14 11 8 10 10
5 13 7 12 12 1 7 9 3 3
1 5 12 9 14 5 1 3 6 12
6 11 5 2 2 11 5 13 8 6
9 3 10 13 11 14 11 8 10 10
10 15 14 7 15 8 13 2 15 7
10 15 14 7 15 8 13 2 15 7
3 11 5 2 2 11 5 13 9 6
10 15 14 7 15 8 10 2 15 7
5 13 7 12 12 1 7 9 3 3
1 5 7 6 14 5 9 3 6 12
